时间(s),X坐标(m),Y坐标(m)
77.13,52.00849271,2.357650556
77.33,54.95754067,-2.599964008
77.53,57.02716296,2.117934364
77.73,54.33471886,-5.467716924
77.93,48.69545252,2.200071118
78.13,51.23441202,2.343067816
78.33,54.34969301,2.895720996
78.53,51.08123934,-4.081878297
78.73,53.9195759,0.849484386
78.93,54.92792774,-0.790900159
79.13,51.14526722,3.469515173
79.33,50.96957343,2.653398777
79.53,53.88314697,4.120237707
79.73,54.67276829,0.829173109
79.93,50.92262598,3.127235948
80.13,54.67125738,-5.873592671
80.33,48.55227869,2.298150047
80.53,49.25211195,-0.892198409
80.73,53.87774179,0.68498837
80.93,55.71290675,1.973433118
81.13,56.98796239,-4.560219729
81.33,48.66582071,-2.906699387
81.53,51.37182194,0.119385263
81.73,54.31966964,3.91580354
81.93,58.14877635,1.867116242
82.13,48.97892819,3.63224696
82.33,51.31378674,1.258582502
82.53,54.28788305,-1.654787439
82.73,53.74644767,-0.227486434
82.93,55.19579045,-3.330414026
83.13,48.29416065,3.756449431
83.33,54.83302024,3.251385235
83.53,51.94899296,-1.667975257
83.73,53.2176865,-1.83588216
83.93,52.58004547,3.548276234
84.13,55.53783094,7.311545345
84.33,56.64714232,2.733041818
84.53,55.74364429,3.096215349
84.73,49.00892791,-0.973878173
84.93,49.56996852,2.768537747
85.13,49.29019038,-3.402476685
85.33,53.15929001,-2.400495934
85.53,55.52194759,-0.223173906
85.73,51.13354798,4.083410197
85.93,50.36102746,-1.198250273
86.13,50.63488253,-2.579877949
86.33,51.43884346,-0.097303768
86.53,46.79452255,-0.333797586
86.73,50.64980442,1.90521622
86.93,46.64314862,-0.753728321
87.13,52.38281474,-1.441157495
87.33,53.80120405,2.573549829
87.53,52.97878123,-2.689380365
87.73,54.8060675,3.416678064
87.93,55.07260907,0.401207926
88.13,47.4893277,-4.016889268
88.33,53.37814133,3.264496801
88.53,51.44026088,6.57959906
88.73,56.34850058,3.546761889
88.93,54.93215391,0.07482767
89.13,53.35946228,3.04780535
89.33,54.45853247,-0.186813005
89.53,48.8156867,-4.50889188
89.73,49.01896607,-1.039883981
89.93,52.70405211,-1.315259393
90.13,51.64312533,-1.831621161
90.33,49.71274395,-3.140097455
90.53,50.44587864,3.106298049
90.73,58.91105783,-0.33892323
90.93,47.87855051,0.544325853
91.13,50.03420139,0.301701972
91.33,55.94901859,8.487526205
91.53,59.4387894,-2.323451328
91.73,53.42230838,1.501118491
91.93,49.43542441,0.751253249
92.13,56.09691834,-0.862800904
92.33,48.69128918,-0.79719058
92.53,47.93707481,1.150393708
92.73,55.79846868,2.198378827
92.93,53.89327952,-1.788072629
93.13,58.54044726,-0.217191609
93.33,48.72611308,2.836822051
93.53,51.95438419,-0.999976514
93.73,56.70927494,-0.477928592
93.93,51.18968248,-0.003625107
94.13,51.52786489,-3.433457959
94.33,50.36978725,-1.070509565
94.53,51.21589085,-3.326549878
94.73,49.8104273,-1.255027241
94.93,48.46207257,-8.622763734
95.13,54.27059154,6.280650329
95.33,50.96136776,-1.885621003
95.53,53.61171398,-1.391450185
95.73,48.50690654,-0.797475512
95.93,48.09315439,-4.204495188
96.13,50.46845615,-1.853193223
96.33,50.72143602,-2.810419779
96.53,52.5537929,-1.851769754
96.73,53.90174566,-0.273300814
96.93,47.13344322,-2.268159715
97.13,52.11225935,-0.971461197
97.33,50.64949274,-3.588120638
97.53,48.2196629,6.262867821
97.73,55.8794101,3.775459614
97.93,57.01533754,2.874908396
98.13,50.83299083,-3.19786998
98.33,46.63124891,0.142432401
98.53,53.65617624,-3.963603465
98.73,48.71293678,2.21738984
98.93,52.47136174,0.779901508
99.13,55.6233902,0.941151652
99.33,56.03560373,-0.556370784
99.53,51.70869747,-4.816767253
99.73,57.1597304,-2.768203343
99.93,53.41403253,-1.337067207
100.13,48.47671881,0.086572327
100.33,47.28500416,-0.20647172
100.53,58.66118415,-1.805144177
100.73,54.43088978,-3.643518713
100.93,49.82987611,0.741888315
101.13,54.11248046,-0.27265554
101.33,50.57711839,0.025290258
101.53,50.8539704,-3.761791032
101.73,47.33934546,-1.758615771
101.93,51.2814396,4.527606088
102.13,51.88798418,0.468506626
102.33,50.89716218,-1.920830685
102.53,49.02342545,0.615205234
102.73,53.42761119,2.400826465
102.93,47.77392224,-1.569308382
103.13,53.3843451,0.659167921
103.33,46.71972902,2.138758846
103.53,44.61371075,-2.661872496
103.73,43.35687365,2.612132856
103.93,41.43135926,-2.227416126
104.13,45.77597936,-1.159994385
104.33,40.28655337,-1.111668682
104.53,37.0680833,1.014170141
104.73,41.10203968,1.450413112
104.93,41.03184435,-1.04342892
105.13,40.58146195,-5.508951732
105.33,42.05409804,-4.319406075
105.53,33.99206644,3.730079978
105.73,38.07462133,-1.152529162
105.93,37.48487977,4.737299936
106.13,35.88860129,-3.993353664
106.33,39.54217311,1.341900969
106.53,38.61441364,0.403947241
106.73,34.03575594,-0.482732387
106.93,35.16073169,-1.53164103
107.13,34.67790455,-1.37117368
107.33,28.26933285,3.371398944
107.53,31.97872377,-2.671587175
107.73,28.92491906,4.656958065
107.93,28.02788878,3.724326927
108.13,30.3555228,1.668200453
108.33,32.19929479,0.198081574
108.53,32.56201764,3.120592239
108.73,25.70801717,0.186751086
108.93,32.18070011,8.68157961
109.13,23.4838692,0.206924707
109.33,27.29255297,-0.753358919
109.53,23.01246715,-3.378061512
109.73,21.74802536,2.189299683
109.93,29.80857846,2.905229139
110.13,24.90603793,-0.463896315
110.33,28.18196887,0.182484435
110.53,29.19720221,4.519433501
110.73,26.7743841,-0.461149707
110.93,19.56339429,-5.185342589
111.13,25.12620007,1.866733236
111.33,22.89979832,3.791461492
111.53,24.38270757,0.796610749
111.73,23.11423239,2.600944636
111.93,25.18345428,0.343424128
112.13,23.53996168,4.564246563
112.33,24.01624282,-2.885621588
112.53,25.46534524,1.450230185
112.73,20.01751672,0.677654821
112.93,20.46365949,2.330635387
113.13,22.49700123,4.075804501
113.33,19.36612574,-0.197823022
113.53,23.06513284,-1.279047391
113.73,25.54743948,0.156912221
113.93,18.23925821,4.124783415
114.13,20.85188984,-6.431563479
114.33,20.96660319,1.32497978
114.53,23.16453268,-0.993196211
114.73,19.42935579,0.153469749
114.93,20.9442462,4.990339163
115.13,19.84848384,0.327235021
115.33,20.42799116,-1.551060172
115.53,18.21842269,3.881496674
115.73,18.67227693,-0.81566681
115.93,17.98013455,-1.520658359
116.13,16.47731373,4.684115103
