时间(s),X坐标(m),Y坐标(m)
102,9.527759576,10.67935783
102.25,7.676727423,9.836347758
102.5,8.072182256,10.73459908
102.75,6.140241765,8.610182343
103,6.403625431,8.449649223
103.25,6.459709223,9.838575353
103.5,8.934833162,9.36988284
103.75,8.20134784,9.481705126
104,7.048507881,9.807432464
104.25,7.635093031,10.92898337
104.5,8.940587672,9.232227394
104.75,6.555670186,11.74254632
105,7.610675452,10.49839427
105.25,7.823081462,9.117734019
105.5,6.048505745,11.21158622
105.75,5.980143998,10.26977673
106,7.225979053,9.596976266
106.25,7.377011654,9.637929969
106.5,5.604351795,9.56752582
106.75,7.631288341,10.4441879
107,6.309311685,10.40112084
107.25,5.058772409,9.937491349
107.5,6.717738944,9.712749078
107.75,7.543265305,10.66668289
108,6.171573453,11.1812613
108.25,7.501643901,9.842189853
108.5,6.886230004,9.264677167
108.75,5.055244675,10.3516871
109,5.415141702,9.691693769
109.25,6.018176154,10.47081265
109.5,6.988793193,10.26054201
109.75,6.349025254,9.715016399
110,4.685842351,8.757863265
110.25,6.942620072,9.253637858
110.5,5.882824545,10.88798757
110.75,6.380073665,9.327130529
111,5.098468717,9.86548074
111.25,4.674967351,10.48778016
111.5,4.640793851,9.275328886
111.75,6.299180929,8.54762789
112,3.626060686,9.999844059
112.25,5.277405657,9.192993777
112.5,4.706102417,8.34840115
112.75,4.750409751,9.364002264
113,4.580419977,10.47031167
113.25,4.762162173,9.567910058
113.5,5.13300483,10.00030549
113.75,4.264784948,9.816460893
114,4.01317565,11.03642457
114.25,3.488962499,10.19320911
114.5,3.770520574,10.25885387
114.75,5.727891007,9.189883246
115,4.163979391,9.630552428
115.25,3.149308923,10.34620104
115.5,3.670967494,9.552651901
115.75,4.603875394,9.587470976
116,4.189862604,9.710406655
116.25,4.276284901,9.182730654
116.5,3.861652038,8.857252943
116.75,5.205782136,10.06477081
117,3.43300026,9.80953152
117.25,3.297019964,8.416625064
117.5,2.351220766,9.73975453
117.75,3.710402493,9.796024795
118,3.496395702,8.506299583
118.25,4.167083139,10.35843206
118.5,3.186861033,10.01115113
118.75,2.617455729,9.594245222
119,1.877019457,10.05747712
119.25,5.852024022,8.264130033
119.5,3.723566771,8.709557102
119.75,5.056113579,8.919754487
120,3.624688036,10.46307457
120.25,1.994337896,8.215986649
120.5,3.991423341,10.2113388
120.75,2.74564909,9.091653283
121,4.054068339,10.41859828
121.25,3.83773491,9.581093943
121.5,3.473952079,9.235380079
121.75,3.149968504,9.876384337
122,2.624498747,8.246273906
122.25,4.271481428,10.07970721
122.5,2.564510277,9.226316544
122.75,1.593455248,9.925568983
123,1.4991469,9.454805958
